teamold,record,winpercent,seasonstart,seasonend,team
Pacers,22-60,0.268,1984,1985,Pacers
Pacers,26-56,0.317,1983,1984,Pacers
Pacers,20-62,0.244,1982,1983,Pacers
Pacers,35-47,0.427,1981,1982,Pacers
Pacers,44-38,0.537,1980,1981,Pacers
Clippers,42-40,0.512,2017,2018,Clippers
Clippers,51-31,0.622,2016,2017,Clippers
Clippers,53-29,0.646,2015,2016,Clippers
Clippers,56-26,0.683,2014,2015,Clippers
Clippers,57-25,0.695,2013,2014,Clippers
Clippers,56-26,0.683,2012,2013,Clippers
Clippers,40-26,0.606,2011,2012,Clippers
Clippers,32-50,0.39,2010,2011,Clippers
Clippers,29-53,0.354,2009,2010,Clippers
Clippers,19-63,0.232,2008,2009,Clippers
Clippers,23-59,0.28,2007,2008,Clippers
Clippers,40-42,0.488,2006,2007,Clippers
Clippers,47-35,0.573,2005,2006,Clippers
Clippers,37-45,0.451,2004,2005,Clippers
Clippers,28-54,0.341,2003,2004,Clippers
Clippers,27-55,0.329,2002,2003,Clippers
Clippers,39-43,0.476,2001,2002,Clippers
Clippers,31-51,0.378,2000,2001,Clippers
Clippers,15-67,0.183,1999,2000,Clippers
Clippers,9-41,0.18,1998,1999,Clippers
Clippers,17-65,0.207,1997,1998,Clippers
Clippers,36-46,0.439,1996,1997,Clippers
Clippers,29-53,0.354,1995,1996,Clippers
Clippers,17-65,0.207,1994,1995,Clippers
Clippers,27-55,0.329,1993,1994,Clippers
Clippers,41-41,0.5,1992,1993,Clippers
Clippers,45-37,0.549,1991,1992,Clippers
Clippers,31-51,0.378,1990,1991,Clippers
Clippers,30-52,0.366,1989,1990,Clippers
Clippers,21-61,0.256,1988,1989,Clippers
Clippers,17-65,0.207,1987,1988,Clippers
Clippers,12-70,0.146,1986,1987,Clippers
Clippers,32-50,0.39,1985,1986,Clippers
Clippers,31-51,0.378,1984,1985,Clippers
Clippers,30-52,0.366,1983,1984,Clippers
Clippers,25-57,0.305,1982,1983,Clippers
Clippers,17-65,0.207,1981,1982,Clippers
Clippers,36-46,0.439,1980,1981,Clippers
Lakers,35-47,0.427,2017,2018,Lakers
Lakers,26-56,0.317,2016,2017,Lakers
Lakers,17-65,0.207,2015,2016,Lakers
Lakers,21-61,0.256,2014,2015,Lakers
Lakers,27-55,0.329,2013,2014,Lakers
Lakers,45-37,0.549,2012,2013,Lakers
Lakers,41-25,0.621,2011,2012,Lakers
Lakers,57-25,0.695,2010,2011,Lakers
Lakers,57-25,0.695,2009,2010,Lakers
Lakers,65-17,0.793,2008,2009,Lakers
Lakers,57-25,0.695,2007,2008,Lakers
Lakers,42-40,0.512,2006,2007,Lakers
Lakers,45-37,0.549,2005,2006,Lakers
